Subfamily,Genus,Genus.Species,caste,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology
Formicinae,Nylanderia,Nylanderia.steinheili,worker,143,Burchill,,Leaf Litter,Omnivore,Nonnative,Monomorphic,
Formicinae,Nylanderia,Nylanderia.vividula,worker,200,pers comm j williams,100-300,Leaf Litter,Omnivore,Native,Monomorphic,?
Formicinae,Nylanderia,Nylanderia.wojciki,worker,100,King,,Ground,Omnivore,Native,Monomorphic,
Dolichoderinae,Ochetellus,Ochetellus.glaber,worker,,,,Arboreal,Omnivore,Nonnative,Monomorphic,"Polygyne, budding"
Ponerinae,Odontomachus,Odontomachus.brunneus,worker,72,"Cerquera, L. M., and W. R. Tschinkel. 2008. J. Insect Sci. 10:1–12.",,Ground,Predator,Native,Monomorphic,
Ponerinae,Odontomachus,Odontomachus.brunneus,worker,65,Burchill,,Ground,Predator,Native,Monomorphic,
Ponerinae,Odontomachus,Odontomachus.brunneus,worker,200,King,,Ground,Predator,Native,Monomorphic,
Ponerinae,Odontomachus,Odontomachus.haematodus,worker,500,Burchill,,Ground,Predator,Nonnative,Monomorphic,
Ponerinae,Odontomachus,Odontomachus.relictus,worker,200,King,,Ground,Predator,Native,Monomorphic,
Ponerinae,Odontomachus,Odontomachus.ruginodis,worker,200,King,,Ground,Predator,Nonnative,Monomorphic,
Formicinae,Paratrechina,Paratrechina.longicornis,worker,2000,Burchill,,Ground,Omnivore,Nonnative,Monomorphic,"budding, high affinitiy for human-areas"
Myrmicinae,Pheidole,Pheidole.adrianoi,major,350,King,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.adrianoi,major,300,Deyrup,"60 majors, 240 minors",Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.adrianoi,worker,350,King,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.adrianoi,worker,300,Deyrup,"60 majors, 240 minors",Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.bicarinata,major,200,Deyrup,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.bicarinata,worker,200,Deyrup,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.carrolli,major,,,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.carrolli,worker,,,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.crassicornis,major,1000,Antweb,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.crassicornis,worker,1000,Antweb,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.dentata,major,800,King,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.dentata,major,800,King,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.dentata,worker,946,Burchill,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.dentata,worker,946,Burchill,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.dentigula,major,300,King,,Mixed,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.dentigula,worker,300,King,,Mixed,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.diversipilosa,major,1000,Antwiki,"""can exceed 1000 workers""",Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.diversipilosa,worker,1000,Antwiki,"""can exceed 1000 workers""",Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.flavens,major,,,,Mixed,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Pheidole,Pheidole.flavens,worker,,,,Mixed,Omnivore,Nonnative,Polymorphic,
