SPECIES,CASENT,HW,HL,ML,EL,WL
Cyphomyrmex rimosus,casent0923105,0.742,0.795,0.18,0.164,1.112
Discothyrea testacea,casent0004651,0.341,0.406,0.104,NA,0.449
Discothyrea testacea,casent0006058,0.354,0.433,0.143,NA,0.452
Discothyrea testacea,casent0270725,0.396,0.482,0.193,NA,0.503
Discothyrea testacea,casent0103847,0.406,0.511,0.0105,0.015,0.478
Dolichoderus mariae,casent0103850,0.81,0.904,0.377,0.236,1.215
Dolichoderus mariae,casent0909456,0.955,1.011,0.393,0.2865,1.463
Dolichoderus mariae,fmnhins0000045063,0.872,0.956,0.399,0.2405,1.326
Dolichoderus mariae,casent0003312,0.94,1.047,0.22,0.2665,1.332
Dolichoderus plagiatus,ANTWEB1041579,0.81,0.859,0.393,0.246,1.224
Dolichoderus plagiatus,CASENT0104779,0.786,0.897,0.35,0.222,1.112
Dolichoderus plagiatus,CASENT0915561,0.764,0.882,0.351,0.2465,1.351
Dolichoderus pustulatus,casent0103855,0.871,0.95,0.379,0.2615,1.207
Dolichoderus pustulatus,casent0249578,0.704,0.736,0.336,0.2245,1.062
Dolichoderus pustulatus,fmnhins0000045072,0.755,0.833,0.325,0.227,1.184
Dolichoderus pustulatus,casent0902960,0.722,0.799,0.2075,0.2425,1.166
Dolichoderus taschenbergi,ANTWEB1041580,0.823,0.902,0.397,0.2345,1.245
Dolichoderus taschenbergi,CASENT0005172,0.798,0.884,0.365,0.2325,1.173
Dolichoderus taschenbergi,CASENT0249580,0.81,0.89,0.384,0.2335,1.139
Dolichoderus taschenbergi,CASENT0915568,0.835,0.916,0.421,0.2215,1.359
Dolichoderus taschenbergi,FMNHINS0000045083,0.918,0.958,0.439,0.2545,1.36
Dorymyrmex bossutus,casent0103858,0.697,0.81,0.381,0.214,1.008
Dorymyrmex bossutus,casent0105876,0.5355,0.609,0.089,0.162,0.971
Dorymyrmex bureni,casent0249670,0.692,0.778,0.366,0.2255,1.084
Dorymyrmex bureni,fmnhins0000062862,0.807,0.857,0.421,0.27,1.28
Dorymyrmex bureni,casent0103863,0.727,0.832,0.412,0.2135,1.124
Dorymyrmex bureni,casent0281176,0.865,0.974,0.1385,0.2525,1.315
Dorymyrmex elegans,casent0103876,0.675,0.846,0.438,0.224,1.42
Dorymyrmex elegans,casent0249671,0.65,0.807,0.417,0.2185,1.406
Dorymyrmex elegans,casent0003314,0.688,0.863,0.1465,0.2065,1.282
Dorymyrmex flavopectus,casent0103887,0.7305,0.874,0.1825,0.203,1.213
Dorymyrmex flavus,CASENT0005321,0.84,0.928,NA,0.2585,1.21
Dorymyrmex flavus,CASENT0104736,0.775,0.86,0.418,0.257,1.141
Dorymyrmex flavus,CASENT0249674,0.624,0.67,0.392,0.243,0.971
Dorymyrmex flavus,CASENT0902983,0.791,0.87,0.434,0.2705,1.14
